mm,informed,noisyinformed,noisy
"[0, 1.0100000000000051, 1.5899999999999892, 2.339999999999989, 1.7300000000000182, 1.980000000000004, 2.2400000000000233, 3.0200000000000102, 3.120000000000033, 2.730000000000004, 3.360000000000028, 4.460000000000051, 4.600000000000037, 5.230000000000061, 6.330000000000084, 7.410000000000096, 7.0600000000000875, 7.690000000000111, 7.850000000000136, 9.370000000000132, 10.450000000000145, 10.100000000000136, 10.700000000000145, 11.780000000000157, 11.900000000000162, 12.50000000000017, 12.620000000000175, 12.910000000000196, 13.05000000000021, 13.32000000000022, 13.460000000000235, 14.980000000000231, 15.120000000000246, 14.930000000000263, 15.070000000000277, 14.800000000000253, 15.400000000000219, 15.560000000000187, 15.400000000000162, 16.030000000000143, 16.34000000000013, 16.970000000000113, 17.2800000000001, 17.570000000000107, 18.170000000000115, 18.46000000000012, 19.06000000000013, 19.66000000000014, 19.530000000000143, 19.71000000000015, 20.31000000000016, 20.91794659011987, 21.8978575736527, 22.98982196706585, 24.121786360478993, 24.92776855718556, 25.035804163772454, 25.665804163772435, 25.793839770359284, 26.077857573652736, 26.81383977035931, 27.579821967065897, 27.727857573652784, 28.463839770359357, 29.229821967065945, 29.513839770359397, 30.14383977035942, 30.90982196706601, 31.675804163772597, 33.8857382536485, 33.5158041637726, 31.305935984020778, 31.633435270253983, 32.024684199603826, 32.66843384272045, 33.128433842720455, 33.58843384272046, 32.1890248018471, 30.409615760973736, 28.670206720100396, 26.97079767922702, 25.271388638353642, 21.332570556606896, 19.71316151573356, 18.113752474860178, 18.74375247486016, 20.24375247486016, 20.392657784481614, 21.11265778448164, 21.2115630941031, 20.989373713346026, 19.914994951831844, 21.889614310026147, 16.525105486106995, 6.948342250228208, 2.3738334263090195, -1.661736911793568, -3.852117137195293, -6.447687475297911, -7.135472644349235]","[0, 0, 0.18000000000000682, 0.38000000000000966, 0.5900000000000034, 0.7600000000000051, 0.9200000000000017, 1.0700000000000074, 1.230000000000004, 1.3800000000000097, 1.5100000000000051, 1.6400000000000006, 1.7800000000000011, 1.9099999999999966, 2.039999999999992, 2.1799999999999926, 2.319999999999993, 2.4499999999999886, 2.579999999999984, 2.7099999999999795, 2.84999999999998, 2.9899999999999807, 3.1299999999999812, 3.269999999999982, 3.4099999999999824, 3.549999999999983, 3.6899999999999835, 3.819999999999979, 3.9499999999999744, 4.07999999999997, 4.209999999999965, 4.339999999999961, 4.469999999999956, 4.599999999999952, 4.729999999999947, 4.849999999999952, 4.969999999999956, 5.089999999999961, 5.209999999999965, 5.319999999999965, 5.429999999999964, 5.539999999999964, 5.649999999999963, 5.7599999999999625, 5.869999999999962, 5.979999999999961, 6.089999999999961, 6.19999999999996, 6.30999999999996, 6.419999999999959, 6.225982196706525, 6.225982196706525, 6.225982196706525, 6.311964393413092, 6.437946590119665, 6.583928786826235, 6.739910983532795, 6.885893180239364, 7.0318753769459335, 7.167857573652498, 7.303839770359062, 7.439821967065626, 7.57580416377219, 7.711786360478754, 7.847768557185319, 7.983750753891883, 8.119732950598447, 8.255715147305011, 8.391697344011575, 7.486730299073628, 8.171697344011577, 8.786664388949532, 8.842914745832928, 8.879165102716314, 8.879165102716314, 8.879165102716314, 8.879165102716314, 10.078869623152997, 11.218574143589677, 12.318278664026352, 13.387983184463039, 14.447687704899721, 15.487392225336407, 16.507096745773083, 17.516801266209768, 17.937895956588306, 18.14899064696685, 18.500085337345396, 18.83118002772393, 19.17227471810247, 19.503369408481007, 19.82446409885955, 19.047154419762393, 20.51328162574218, 22.10940883172198, 23.315536037701776, 23.988131094052207, 24.66072615040264, 25.093321206753075, 25.395916263103516]","[0, -0.2600000000000051, -0.2600000000000051, -0.060000000000002274, 0.14999999999999147, 0.14999999999999147, 0.14999999999999147, 0.29999999999999716, 0.45999999999999375, 0.6099999999999994, 0.7399999999999949, 0.8699999999999903, 1.009999999999991, 0.6699999999999875, 0.3299999999999841, 0.46999999999998465, 0.6099999999999852, 0.7399999999999807, 0.8699999999999761, 0.5399999999999778, 0.19999999999997442, 0.339999999999975, 0.47999999999997556, 0.6199999999999761, 0.7599999999999767, 0.8999999999999773, 1.0399999999999778, 1.1699999999999733, 1.2999999999999687, 1.2999999999999687, 1.4299999999999642, 1.099999999999966, 0.7699999999999676, 0.899999999999963, 1.0299999999999585, 1.149999999999963, 1.2699999999999676, 1.3899999999999721, 1.5099999999999767, 1.6199999999999761, 1.7299999999999756, 1.839999999999975, 1.839999999999975, 1.839999999999975, 1.9499999999999744, 2.059999999999974, 1.7499999999999716, 1.859999999999971, 1.859999999999971, 1.9699999999999704, 1.7759821967065363, 1.7399999999999665, 1.5440178032934, 1.228035606586829, 0.8820534098802568, 0.5160712131736886, 0.6720534098802489, 0.8180356065868182, 0.9640178032933875, 0.9640178032933875, 0.6280356065868204, 0.2820534098802483, 0.4180356065868125, 0.4180356065868125, 0.4180356065868125, 0.4180356065868125, 0.5540178032933767, 0.6899999999999409, 0.6899999999999409, -0.21496704493800678, 0.469999999999942, 1.0849670449378976, 1.1412174018212937, 1.1774677587046796, 1.0537181155880688, 1.0537181155880688, 2.4734226360247504, 3.673127156461433, 4.812831676898114, 5.912536197334788, 6.982240717771475, 8.041945238208157, 9.081649758644843, 10.10135427908152, 11.111058799518204, 11.532153489896743, 11.743248180275287, 11.743248180275287, 12.074342870653823, 12.074342870653823, 12.405437561032358, 12.726532251410902, 11.949222572313744, 13.415349778293532, 15.01147698427333, 16.217604190253127, 16.890199246603558, 17.56279430295399, 17.995389359304426, 18.297984415654867]","[0, -0.25, -0.7199999999999989, -1.1700000000000017, -0.960000000000008, -0.7900000000000063, -0.6300000000000097, -0.9900000000000091, -1.3600000000000136, -1.210000000000008, -1.5500000000000114, -1.8900000000000148, -1.7500000000000142, -1.6200000000000188, -1.9600000000000222, -2.3000000000000256, -2.160000000000025, -2.5000000000000284, -2.370000000000033, -2.7000000000000313, -3.0400000000000347, -2.900000000000034, -3.2400000000000375, -3.580000000000041, -3.4400000000000404, -3.7800000000000438, -4.120000000000047, -3.9900000000000517, -3.8600000000000563, -4.190000000000055, -4.060000000000059, -4.390000000000057, -4.260000000000062, -4.1300000000000665, -4.000000000000071, -3.8800000000000665, -4.20000000000006, -4.520000000000053, -4.400000000000048, -4.7200000000000415, -5.040000000000035, -5.360000000000028, -5.250000000000028, -5.560000000000031, -5.450000000000031, -5.7600000000000335, -6.070000000000036, -5.960000000000036, -5.850000000000037, -6.160000000000039, -6.354017803293473, -6.818035606586903, -7.01401780329347, -7.330000000000041, -7.204017803293468, -7.058035606586898, -6.902053409880338, -7.258035606586901, -7.112053409880332, -7.458035606586904, -7.794017803293471, -8.140000000000043, -8.004017803293479, -8.340000000000046, -8.685982196706618, -9.03196439341319, -9.377946590119763, -9.723928786826335, -10.069910983532907, -10.974878028470854, -12.159845073408803, -13.024812118346759, -13.301062475230154, -13.83731283211354, -13.973563188996934, -14.069813545880322, -15.719518066317008, -14.519813545880325, -13.380109025443645, -14.709813545880323, -15.999518066317009, -17.269222586753685, -16.229518066317, -17.459222586753683, -16.449518066316998, -17.08061275669553, -17.791707447074074, -17.44061275669553, -18.011707447074073, -17.670612756695533, -18.221707447074067, -17.900612756695523, -18.67792243579268, -20.64404964177247, -19.04792243579267, -20.50404964177247, -19.831454585422037, -21.00404964177247, -20.571454585422032, -21.09404964177247]"
"[0, 1.0100000000000051, 1.2299999999999756, 2.4699999999999562, 2.02267367514402, 2.51534735028811, 2.608021025432194, 3.8553473502881133, 7.1237542871019315, 3.8869404134743064, 4.636940413474306, 6.136940413474306, 4.3675235486208095, 2.5781066837673308, -1.5407270459396187, -4.454852343219812, -5.033376304781996, -1.296328381657645, -4.243376304781975, -6.890424227906308, -10.905996112592831, -14.56156799727934, -17.977139881965897, -21.152711766652416, -21.73123572821457, -22.329759689776736, -23.587545632120026, -25.30459355524438, -26.51237949758763, -27.047145051002303, -25.96083643935596, -25.217145051002305, -25.151910604416955, -24.74929338112426, -24.202984769477922, -23.64667615783155, -23.181441711246165, -22.697750322892517, -22.215133099599825, -21.648824487953505, -20.25075441511217, -19.280368429680436, -18.14114040054389, -17.920368429680423, -17.959210473385227, -17.678438502521786, -17.048438502521762, -16.67805251709001, -16.35728054622652, -15.43805251709, -14.4892104733852, -14.517666531658278, -14.216894560794799, -13.876122589931356, -13.515350619067874, -13.43380667734094, -14.278405651546521, -14.483004625752116, -13.19070513864932, -13.30300462575211, -12.643004625752113, -13.327603599957726, -13.459903087060539, -13.582202574163318, -15.541400522574492, -16.165999496780103, -15.023700009677285, -13.159101035471664, -13.783700009677275, -15.67289795808847, -16.25749693229409, -18.0666948807053, -17.46669488070529, -18.05129385491088, -17.687351556735635, -17.04538040764801, -16.507351556735628, -15.966365982191832, -15.655380407648039, -15.124394833104233, -14.583409258560422, -14.04636598219183, -14.108364700065223, -13.550363417938598, -13.914360853685366, -13.224360853685354, -13.608358289432104, -13.992355725178825, -14.336353160925555, -14.288351878798949, -14.592349314545714, -14.52434803241907, -15.370344186039176, -15.63434162178595, -15.004341621785969, -16.122336493279477, -17.20033136477295, -17.926327518393094, -18.150324954139876, -17.520324954139895]","[0, 0, 0.18000000000000682, 0.3200000000000074, 0.7736631624279653, 1.0273263248559203, 1.2309894872838782, 1.39465264971183, 2.5888561181187413, 3.5230595865256475, 4.8077680189523875, 5.842476451379127, 6.987184883805867, 8.101893316232605, 9.186601748659342, 10.231310181086073, 10.740572161867163, 11.049834142648251, 11.849096123429334, 12.568358104210418, 13.237620084991505, 13.84688206577259, 14.416144046553683, 14.94540602733477, 15.444668008115855, 15.94392998889694, 16.433191969678035, 16.912453950459124, 17.38171593124021, 17.565407319593874, 17.565407319593874, 17.565407319593874, 17.565407319593874, 17.565407319593874, 17.565407319593874, 17.565407319593874, 17.565407319593874, 17.565407319593874, 17.565407319593874, 17.565407319593874, 17.565407319593874, 17.59502133416214, 17.644635348730404, 17.764249363298674, 17.853863377866944, 17.923477392435217, 17.97309140700348, 18.022705421571743, 18.072319436140006, 18.11193345070828, 18.16154746527654, 18.22116147984481, 18.270775494413073, 18.310389508981345, 18.340003523549612, 18.36961753811788, 18.991917025220673, 19.59421651232347, 20.136515999426265, 20.708815486529062, 21.271114973631867, 21.833414460734673, 22.385713947837473, 22.92801343494027, 23.470312922043064, 23.992612409145863, 24.504911896248657, 25.01721138335145, 25.53951087045425, 26.06181035755705, 26.564109844659853, 27.066409331762657, 27.558708818865455, 28.051008305968253, 28.010022731424442, 28.010022731424442, 28.010022731424442, 28.010022731424442, 28.010022731424442, 28.010022731424442, 28.010022731424442, 28.010022731424442, 28.010022731424442, 28.452021449297817, 28.904020167171197, 29.31601888504457, 29.728017602917944, 30.130016320791313, 30.512015038664686, 30.884013756538067, 31.246012474411444, 31.598011192284815, 31.950009910158187, 32.29200862803157, 32.62400734590494, 32.95600606377832, 33.27800478165169, 33.59000349952507, 33.90200221739845, 34.20400093527182]","[0, -0.2600000000000051, -0.0799999999999983, -0.45999999999999375, -0.006336837572035847, 0.2473263248559192, 0.4509894872838771, 0.057326324855921484, -1.3568771435509888, -0.4226736751440825, 0.8620347572826574, 1.8967431897093974, 3.0414516221361367, 4.156160054562875, 5.240868486989612, 6.285576919416343, 6.794838900197433, 5.985576919416346, 6.784838900197428, 7.504100880978513, 8.1733628617596, 8.782624842540685, 9.351886823321777, 9.881148804102864, 9.17188682332177, 9.671148804102856, 10.16041078488395, 10.63967276566504, 10.63967276566504, 10.823364154018705, 10.40967276566505, 10.205981377311389, 10.189672765665051, 10.045981377311392, 9.932289988957734, 9.815981377311388, 9.815981377311388, 9.669672765665055, 9.669672765665055, 9.523364154018722, 9.243750139450455, 9.273364154018722, 8.963750139450454, 8.61413612488218, 8.703750139450449, 8.773364154018722, 8.822978168586985, 8.872592183155248, 8.922206197723511, 8.672592183155245, 8.672592183155245, 8.732206197723514, 8.781820212291777, 8.821434226860049, 8.851048241428316, 8.880662255996583, 9.502961743099377, 10.105261230202174, 10.64756071730497, 11.219860204407766, 11.782159691510572, 12.344459178613377, 12.896758665716177, 13.439058152818973, 13.981357639921768, 14.503657127024567, 14.503657127024567, 13.781357639921765, 14.303657127024564, 14.825956614127364, 15.328256101230167, 15.83055558833297, 16.32285507543577, 16.815154562538567, 16.774168987994756, 16.774168987994756, 16.623183413450946, 16.444168987994757, 16.444168987994757, 16.35318341345095, 16.252197838907136, 16.14318341345094, 15.451184695577567, 15.451184695577567, 15.903183413450947, 16.31518213132432, 16.727180849197694, 17.129179567071063, 17.511178284944435, 17.883177002817817, 18.245175720691194, 18.597174438564565, 18.949173156437936, 19.291171874311317, 19.623170592184692, 19.955169310058068, 20.277168027931438, 20.589166745804818, 20.07716802793145, 20.379166745804824]","[0, -0.25, -0.7199999999999989, -0.5799999999999983, -0.1263368375720404, -0.8799999999999955, -0.6763368375720376, -1.0699999999999932, -2.4842034684069034, -1.5499999999999972, -3.084708432426737, -4.619416864853477, -6.024125297280207, -4.909416864853469, -3.824708432426732, -2.780000000000001, -3.5092619807810905, -4.318523961562178, -5.367785942343261, -4.6485239615621765, -3.9792619807810894, -3.3700000000000045, -2.8007380192189117, -2.271476038437825, -1.7722140576567398, -2.471476038437828, -3.1707380192189163, -3.8500000000000085, -3.3807380192189243, -3.764429407572578, -3.850738019218923, -4.054429407572584, -4.070738019218922, -4.157046630865267, -4.263355242511608, -4.367046630865275, -4.483355242511621, -4.547046630865282, -4.683355242511624, -4.829663854157957, -5.109277868726224, -5.638891883294491, -5.948505897862759, -5.828891883294489, -5.739277868726219, -5.669663854157946, -5.929277868726217, -5.879663854157954, -5.830049839589691, -6.079663854157957, -6.329277868726223, -6.269663854157955, -6.5192778687262205, -6.479663854157948, -6.450049839589681, -6.420435825021414, -5.798136337918621, -5.195836850815823, -5.988136337918618, -5.415836850815822, -6.198136337918626, -5.635836850815821, -6.398136337918615, -7.150435825021418, -6.608136337918623, -6.085836850815824, -6.808136337918626, -7.530435825021428, -8.26273531212422, -7.740435825021422, -7.238136337918618, -6.735836850815815, -7.428136337918616, -8.120435825021417, -8.161421399565228, -8.23240697410904, -8.36142139956523, -8.422406974109037, -8.50339254865284, -8.632406974109031, -8.733392548652844, -8.834378123196657, -8.352379405323276, -7.910380687449901, -8.632379405323277, -9.274378123196655, -9.906376841070028, -10.518375558943404, -10.136376841070032, -10.718375558943407, -11.290374276816777, -10.938375558943406, -10.586376841070035, -10.244378123196654, -10.786376841070023, -10.454378123196648, -10.132379405323277, -9.820380687449898, -9.508381969576519, -10.020380687449887]"
"[0, 0.75, 2.6299999999999955, 3.34999999999998, 1.7300000000000182, 2.390000000000015, 1.5796276916526324, 1.8844415374789207, 2.919627691652636, 2.789255383305232, 3.347861812185286, 4.506468241065335, 5.046468241065327, 5.617861812185282, 6.143681098825411, 6.749500385465552, 7.286713243225648, 7.875319672105718, 8.326713243225655, 8.660893956585525, 9.188106814345616, 9.776713243225686, 10.238106814345656, 10.616713243225718, 10.909500385465634, 11.350893956585594, 11.92950038546563, 12.722532529865873, 13.291138958745933, 14.184171103146156, 14.792777532026193, 15.381383960906248, 15.969990389786304, 16.547203247546406, 17.154416105306524, 17.555809676426477, 17.759990389786324, 18.514416105306523, 19.111628963066636, 19.51302253418659, 20.506054678586864, 21.323267536346933, 21.706054678586796, 22.08884182082666, 23.131873965226887, 25.844449180702483, 24.971873965226862, 19.77414831879996, 15.356422672373029, 11.418697025946173, 10.626121810470565, 9.87354659499492, 9.140971379519314, 7.085820948568028, 5.110670517616796, 3.1755200866655144, 1.270369655714262, 0.677794440238614, 0.06521922476298414, -1.7099312061882586, -3.445081637139552, -5.19023206809085, -6.895382499042114, -8.560532929993357, -10.175683360944646, -10.992343066954334, -11.169002772963978, -11.705662478973636, -13.388981890992923, -14.882301303012227, -16.215620715031562, -15.555620715031566, -17.70559983306056, -18.808919245079892, -20.71889836310885, -21.373887922123316, -22.27720733414266, -22.39386704015233, -22.530526746161982, -21.900526746161958, -22.331955343249703, -23.45481253742524, -23.69195543305692, -23.884812627232478, -23.22481262723248, -26.14166347050852, -23.838182795887718, -23.148182795887706, -22.50807514954191, -21.48829044223349, -21.397967503196114, -20.89785985685033, -20.407752210504526, -20.06742927146712, -19.786998686083905, -19.27689103973809, -18.766568100700724, -18.196245161663313, -17.646137515317534, -17.01581457628015]","[0, 0, 0.3199999999999932, 0.769999999999996, 1.2299999999999898, 1.7575930770868382, 2.085186154173684, 2.1827792312605396, 2.240372308347389, 2.32796538543424, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2265718143142976, 2.2351782431943548, 2.243784672074412, 2.252391100954469, 2.252391100954469, 1.0961034932166598, 2.03239110095447, 2.8986787086922874, 3.634966316430109, 4.291253924167918, 4.8975415319057305, 5.483829139643547, 6.0601167473813575, 6.626404355119178, 7.172691962856987, 7.708979570594806, 8.23526717833262, 8.741554786070438, 9.247842393808256, 9.744130001546068, 10.23041760928389, 10.716705217021712, 11.192992824759529, 11.65928043249734, 12.11556804023516, 12.723897893239993, 13.312227746244815, 13.830557599249644, 14.308887452254467, 14.737217305259293, 15.125547158264126, 15.483877011268959, 15.842206864273791, 16.170536717278623, 16.48886657028345, 16.777196423288274, 17.055526276293108, 17.323856129297937, 17.592185982302766, 17.85051583530759, 18.27623013385147, 18.681944432395355, 18.847658730939244, 18.95337302948313, 19.546743198138344, 20.13011336679355, 20.393483535448752, 20.76685370410395, 20.566746057758152, 20.566746057758152, 20.626638411412358, 20.626638411412358, 20.626638411412358, 20.626638411412358, 20.626638411412358, 20.626638411412358, 20.626638411412358, 20.626638411412358, 20.626638411412358, 20.626638411412358]","[0, 0, -0.6299999999999955, -0.1799999999999926, 0.28000000000000114, -0.46759307708684617, -0.14000000000000057, -0.4875930770868564, -0.77518615417371, -0.6875930770868592, -0.8061995059669158, -1.1475930770868672, -1.1475930770868672, -1.2589866482068146, -1.357593077086861, -1.4861995059669084, -1.644805934846957, -1.8134123637270108, -1.8448059348469599, -1.886199505966914, -1.9375930770868592, -1.9789866482068135, -2.0203802193267677, -2.0203802193267677, -2.0203802193267677, -2.061773790446722, -2.113167361566667, -2.2717737904467157, -2.303167361566665, -2.4817737904467094, -2.670380219326759, -2.858986648206809, -3.0475930770868587, -3.0475930770868587, -3.0475930770868587, -3.0489866482068066, -3.0503802193267546, -3.2389866482068044, -3.2389866482068044, -3.2403802193267524, -3.438986648206807, -3.647593077086853, -3.638986648206796, -3.8475930770868416, -4.056199505966887, -5.212487113704697, -4.276199505966886, -3.409911898229069, -2.6736242904912473, -2.017336682753438, -1.411049075015626, -0.8247614672778099, -0.2484738595399989, 0.31781374819782116, 0.864101355935631, 1.40038896367345, 1.9266765714112637, 2.4329641791490815, 2.9392517868868993, 3.435539394624712, 3.9218270023625337, 4.408114610100355, 4.884402217838172, 5.350689825575984, 5.806977433313804, 6.415307286318637, 7.003637139323459, 7.521966992328288, 8.00029684533311, 8.428626698337936, 8.81695655134277, 9.175286404347602, 9.533616257352435, 9.861946110357266, 10.180275963362092, 10.468605816366917, 10.746935669371751, 11.01526552237658, 11.28359537538141, 11.541925228386233, 10.906210929842345, 11.31192522838623, 11.477639526930119, 11.583353825474006, 12.176723994129219, 12.176723994129219, 11.663353825474019, 12.036723994129218, 11.83661634778342, 11.57672399412921, 11.57672399412921, 11.556616347783418, 11.52650870143762, 11.486401055091818, 11.486401055091818, 11.36650870143761, 11.256616347783407, 11.136508701437606, 11.056616347783404, 10.916508701437607]","[0, -0.25, -0.8799999999999955, -1.5699999999999932, -1.1099999999999994, -1.8575930770868467, -1.5300000000000011, -1.4324069229131453, -1.7199999999999989, -1.6324069229131482, -1.7338004940330904, -2.075194065153042, -2.2138004940330944, -2.332406922913151, -2.4638004940330944, -2.592406922913142, -2.653800494033092, -2.822406922913146, -2.853800494033095, -2.8951940651530492, -3.053800494033098, -3.2224069229131516, -3.263800494033106, -3.30519406515306, -3.3465876362730143, -3.3879812073929685, -3.546587636273017, -3.7051940651530657, -3.8738004940331194, -4.052406922913164, -4.073800494033108, -4.262406922913158, -4.451013351793208, -4.639619780673257, -4.65101335179321, -4.849619780673265, -4.851013351793213, -5.039619780673263, -5.041013351793211, -5.042406922913159, -5.241013351793214, -5.44961978067326, -5.658226209553305, -5.649619780673248, -5.858226209553294, -4.901938601815473, -6.338226209553284, -5.4719386018154665, -4.735650994077645, -4.0793633863398355, -4.895650994077656, -5.691938601815465, -5.1156509940776544, -5.891938601815468, -6.648226209553286, -6.111938601815467, -5.585650994077653, -6.301938601815465, -7.0082262095532855, -6.511938601815473, -6.025650994077651, -5.539363386339829, -5.063075778602013, -4.596788170864201, -5.2630757786020155, -6.0714056316068366, -7.159735484611659, -7.928065337616488, -8.636395190621315, -8.208065337616489, -7.819735484611655, -8.398065337616487, -8.039735484611654, -8.57806533761648, -8.259735484611653, -7.971405631606828, -7.693075778601994, -8.171405631606817, -8.639735484611649, -9.10806533761648, -8.6823510390726, -9.588065337616484, -9.422351039072595, -9.316636740528708, -10.130006909183919, -9.546636740528712, -10.060006909183912, -10.663377077839115, -10.683269431493315, -10.923377077839106, -11.253269431493308, -11.47316178514751, -11.673054138801717, -11.71316178514752, -11.783269431493324, -11.903161785147532, -12.003269431493322, -12.123377077839123, -12.253484724184915, -12.393592370530712]"
